spot_artists,spot_song_name,other_artists,other_song_name,match_found,other_index,spot_index,best_match_score,best_match_artist_match_pct,best_match_name_match_pct
the pointer sisters,i'm so excited,the pointer sisters,i'm so excited,True,27910.0,3025,100.0,100.0,100.0
the platters,smoke gets in your eyes,the platters,smoke gets in your eyes,True,27874.0,3024,100.0,100.0,100.0
the outfield,your love,the outfield,your love,True,27797.0,3022,100.0,100.0,100.0
the osmonds,one bad apple,the osmonds,one bad apple,True,27785.0,3021,100.0,100.0,100.0
the o'jays,love train,the o'jays,love train,True,27724.0,3018,100.0,100.0,100.0
the neighbourhood,sweater weather,the neighbourhood,sweater weather,True,27642.0,3010,100.0,100.0,100.0
billy joel,uptown girl,billy joel,uptown girl,True,2749.0,304,100.0,100.0,100.0
billy joel,tell her about it,billy joel,tell her about it,True,2738.0,303,100.0,100.0,100.0
billy joel,just the way you are,billy joel,just the way you are,True,2724.0,298,100.0,100.0,100.0
billy joel,it's still rock and roll to me,billy joel,it's still rock and roll to me,True,2723.0,297,100.0,100.0,100.0
billie eilish,bad guy,billie eilish,bad guy,True,2596.0,295,100.0,100.0,100.0
bill withers,use me,bill withers,use me,True,2591.0,294,100.0,100.0,100.0
bill withers,lean on me,bill withers,lean on me,True,2586.0,292,100.0,100.0,100.0
bill withers,ain't no sunshine,bill withers,ain't no sunshine,True,2581.0,291,100.0,100.0,100.0
the monkees,last train to clarksville,the monkees,last train to clarksville,True,27578.0,3009,100.0,100.0,100.0
the monkees,daydream believer,the monkees,daydream believer,True,27573.0,3007,100.0,100.0,100.0
the mccoys,hang on sloopy,the mccoys,hang on sloopy,True,27489.0,3000,100.0,100.0,100.0
the marcels,blue moon,the marcels,blue moon,True,27433.0,2996,100.0,100.0,100.0
the manhattans,kiss and say goodbye,the manhattans,kiss and say goodbye,True,27424.0,2995,100.0,100.0,100.0
billy vera and the beaters,at this moment,billy vera and the beaters,at this moment,True,2850.0,317,100.0,100.0,100.0
billy swan,i can help,billy swan,i can help,True,2826.0,316,100.0,100.0,100.0
billy preston,will it go round in circles,billy preston,will it go round in circles,True,2786.0,314,100.0,100.0,100.0
billy preston,nothing from nothing,billy preston,nothing from nothing,True,2780.0,313,100.0,100.0,100.0
billy paul,me and mrs. jones,billy paul,me and mrs. jones,True,2773.0,312,100.0,100.0,100.0
billy ocean,there'll be sad songs (to make you cry),billy ocean,there'll be sad songs (to make you cry),True,2769.0,310,100.0,100.0,100.0
billy ocean,"get outta my dreams, get into my car",billy ocean,"get outta my dreams, get into my car",True,2760.0,308,100.0,100.0,100.0
billy ocean,caribbean queen (no more love on the run),billy ocean,caribbean queen (no more love on the run),True,2759.0,307,100.0,100.0,100.0
billy joel,we didn't start the fire,billy joel,we didn't start the fire,True,2750.0,306,100.0,100.0,100.0
the lumineers,ho hey,the lumineers,ho hey,True,27365.0,2991,100.0,100.0,100.0
the lemon pipers,green tambourine,the lemon pipers,green tambourine,True,27306.0,2987,100.0,100.0,100.0
the knack,my sharona,the knack,my sharona,True,27284.0,2985,100.0,100.0,100.0
